entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,240归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,野性攻击强度,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
100145,冻结裤腿,护甲,治疗,4,1,7,腿部,240,耐力+98；智力+98；精神+78,法术强度+134；急速等级+79,法术强度+135；急速等级+72,法术强度×1.0075；急速等级×0.9114,5,510,487,0.9877,1,黄色,,0,,,,,286,,48064,萨布拉的凯旋护腿,245,4,1,7,无,,35055,野蛮角斗士的月布护腿,49964,4,159,70,
100146,铸魂者之裤腿,护甲,治疗,4,1,7,腿部,240,耐力+114；智力+85；精神+85,法术强度+144；暴击等级+68,法术强度+150；暴击等级+65,法术强度×1.0417；暴击等级×0.9559,5,518,496,1.0060,1,红色,,0,,,,,286,,47931,恶魔信使护腿,245,4,1,7,无,,35100,野蛮角斗士的丝质长裤,49959,4,159,70,
100147,纳格兰天启腿甲,护甲,治疗,4,1,7,腿部,240,耐力+98；智力+98；精神+78,法术强度+134；急速等级+79,法术强度+147；急速等级+86,法术强度×1.0970；急速等级×1.0886,5,510,487,1.0411,0,,,0,,,,,286,,47985,维伦的凯旋护腿,245,4,1,7,无,,30912,永恒护腿,45218,4,151,70,
100148,幽魂之地虚空长靴,护甲,治疗,4,1,8,脚部,240,耐力+73；智力+73；精神+49,法术强度+104；暴击等级+69,法术强度+103；暴击等级+70,法术强度×0.9904；暴击等级×1.0145,5,386,368,1.0000,0,,,0,,,,,225,,49234,哀魂长靴,245,4,1,8,无,,34563,赦免软靴,48368,4,154,70,
100149,恒金守望布靴,护甲,治疗,4,1,8,脚部,240,耐力+73；智力+73；精神+64,法术强度+104；急速等级+57,法术强度+105；急速等级+55,法术强度×1.0096；急速等级×0.9649,5,389,371,0.9973,1,黄色,,0,,,,,225,,47293,孀妇便鞋,245,4,1,8,无,,34564,凶星长靴,48371,4,154,70,
100150,破界布靴,护甲,治疗,4,1,8,脚部,240,耐力+73；智力+73；精神+49,法术强度+104；暴击等级+69,法术强度+112；暴击等级+70,法术强度×1.0769；暴击等级×1.0145,5,386,368,1.0245,2,红色,蓝色,0,,,,,225,,49233,哀魂便鞋,245,4,1,8,无,,34574,风暴长靴,48365,4,154,70,
100151,降临足具,护甲,治疗,4,1,8,脚部,240,耐力+73；智力+73；精神+64,法术强度+104；急速等级+57,法术强度+95；急速等级+53,法术强度×0.9135；急速等级×0.9298,5,389,371,0.9650,1,蓝色,,0,,,,,225,,47092,孀妇长靴,245,4,1,8,无,,33884,守备官的鬼纹便鞋,47414,4,146,70,
100152,万法王之护腕,护甲,治疗,4,1,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+77；暴击等级+40,法术强度+83；暴击等级+44,法术强度×1.0779；暴击等级×1.1000,5,288,275,1.0364,1,蓝色,,0,,,,,143,,47588,皇家月幕护腕,245,4,1,9,无,,35174,护卫者的月布护腕,48687,4,154,70,
100153,黎明·护臂,护甲,治疗,4,1,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+85；急速等级+48,法术强度+78；急速等级+52,法术强度×0.9176；急速等级×1.0833,5,305,291,0.9897,1,黄色,,0,,,,,143,,47324,苍白圣徒护腕,245,4,1,9,无,,35179,护卫者的丝质护腕,48690,4,154,70,
100154,先驱者冲击腕饰,护甲,治疗,4,1,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+77；暴击等级+40,法术强度+72；暴击等级+43,法术强度×0.9351；暴击等级×1.0750,5,288,275,0.9927,0,,,0,,,,,143,,47587,皇家月幕护腕,245,4,1,9,无,,30870,崩坏腕甲,45745,4,141,70,
100155,龙骨荒野腕轮,护甲,治疗,4,1,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+85；急速等级+48,法术强度+83；急速等级+51,法术强度×0.9765；急速等级×1.0625,5,305,291,1.0034,0,,,0,,,,,143,,47203,苍白圣徒腕甲,245,4,1,9,无,,30871,殉难护腕,45743,4,141,70,
100156,灰熊丘陵龙焰手甲,护甲,治疗,4,1,10,手部,240,耐力+73；智力+73；精神+52,法术强度+93；暴击等级+60,法术强度+88；暴击等级+64,法术强度×0.9462；暴击等级×1.0667,5,346,351,0.9972,1,蓝色,,0,,,,,204,,45520,警戒裹手,239,4,1,10,无,,34367,永恒光芒之手,48920,4,159,70,
100157,执剑者手饰,护甲,治疗,4,1,10,手部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+104；急速等级+64,法术强度×1.0000；急速等级×1.0000,5,389,370,1.0000,1,黄色,,0,,,,,204,,47983,维伦的凯旋兜帽,245,4,1,10,无,,35003,野蛮角斗士的鬼纹手套,48618,4,159,70,
100158,苍穹·手甲,护甲,治疗,4,1,10,手部,240,耐力+73；智力+74；精神+62,法术强度+113；暴击等级+66,法术强度+105；暴击等级+67,法术强度×0.9292；暴击等级×1.0152,5,359,388,0.9820,0,,,0,,,,,203,,50299,奇软护手,232,4,1,10,无,,35053,野蛮角斗士的月布手套,49960,4,159,70,
100159,破晓者之手饰,护甲,治疗,4,1,10,手部,240,耐力+73；智力+74；精神+56,法术强度+103；急速等级+64,法术强度+94；急速等级+70,法术强度×0.9126；急速等级×1.0938,5,344,370,0.9919,2,蓝色,黄色,0,,,,,203,,48067,萨布拉的征服兜帽,232,4,1,10,无,,35098,野蛮角斗士的丝质护手,49957,4,159,70,
100160,雷霆崖头盔,护甲,治疗,4,2,1,头部,240,智力+83；精神+84；耐力+81,暴击等级+66；法术强度+144,暴击等级+66；法术强度+133,暴击等级×1.0000；法术强度×0.9236,5,479,458,0.9760,2,混沌,蓝色,0,,,,,499,,49473,怒风罩帽,245,4,2,1,无,,34999,野蛮角斗士的龙皮头盔,48601,4,159,70,
100161,断岳战盔,护甲,治疗,4,2,1,头部,240,耐力+98；智力+98；精神+78,法术强度+125；急速等级+71,法术强度+126；急速等级+68,法术强度×1.0080；急速等级×0.9577,5,493,470,0.9957,2,混沌,红色,0,,,,,499,,47690,盎然生长头盔,245,4,2,1,无,,35023,野蛮角斗士的科多皮头盔,48602,4,159,70,
100162,幽暗城头冠,护甲,治疗,4,2,1,头部,240,耐力+98；智力+98；精神+70,法术强度+125；暴击等级+78,法术强度+129；暴击等级+78,法术强度×1.0320；暴击等级×1.0000,5,493,469,1.0085,3,混沌,蓝色,0,,,,,499,,48151,符文图腾的凯旋头饰,245,4,2,1,无,,35033,野蛮角斗士的皮甲头盔,48739,4,159,70,红色
100163,寒星焚烧战盔,护甲,治疗,4,2,1,头部,240,耐力+113；智力+93；精神+69,法术强度+131；急速等级+67,法术强度+119；急速等级+72,法术强度×0.9084；急速等级×1.0746,5,440,473,0.9852,2,混沌,红色,0,,,,,504,,45439,坚毅的凝视,232,4,2,1,无,,32235,萨格拉斯的诅咒视界,52634,4,151,70,
100164,披肩·永夜,护甲,治疗,4,2,3,肩部,240,耐力+73；智力+73；精神+64,法术强度+104；暴击等级+56,法术强度+110；暴击等级+61,法术强度×1.0577；暴击等级×1.0893,5,389,370,1.0297,0,,,0,,,,,460,,48167,玛法里奥的凯旋护肩,245,4,2,3,无,,35035,野蛮角斗士的皮甲护肩,48598,4,159,70,
100165,驭雷者肩卫,护甲,治疗,4,2,3,肩部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+107；急速等级+67,法术强度×1.0288；急速等级×1.0469,5,389,370,1.0162,1,黄色,,0,,,,,460,,48137,玛法里奥的凯旋肩铠,245,4,2,3,无,,31030,刺杀者护肩,45436,4,146,70,
100166,大地肩卫,护甲,治疗,4,2,3,肩部,240,耐力+73；智力+73；精神+64,法术强度+104；暴击等级+56,法术强度+107；暴击等级+51,法术强度×1.0288；暴击等级×0.9107,5,389,370,0.9946,2,红色,蓝色,0,,,,,460,,47712,命运协奏护肩,245,4,2,3,无,,31047,雷霆之心肩甲,45667,4,146,70,
100167,紫电破天肩铠,护甲,治疗,4,2,3,肩部,240,耐力+73；智力+74；精神+56,法术强度+103；急速等级+64,法术强度+106；急速等级+58,法术强度×1.0291；急速等级×0.9062,5,344,370,0.9919,1,蓝色,,0,,,,,457,,48157,符文图腾的征服肩铠,232,4,2,3,无,,33674,复仇角斗士的龙皮护肩,46944,4,146,70,
100168,亘古之护胸,护甲,治疗,4,2,20,胸部,240,耐力+98；智力+98；精神+78,法术强度+134；暴击等级+78,法术强度+143；暴击等级+85,法术强度×1.0672；暴击等级×1.0897,5,510,486,1.0329,1,蓝色,,0,,,,,614,,48136,玛法里奥的凯旋法袍,245,4,2,20,无,,34397,混沌刀锋外套,48054,4,159,70,
100169,轮回之胸甲,护甲,治疗,4,2,20,胸部,240,耐力+98；智力+98；精神+86,法术强度+134；急速等级+71,法术强度+127；急速等级+71,法术强度×0.9478；急速等级×1.0000,5,510,487,0.9856,0,,,0,,,,,614,,47292,反目长袍,245,4,2,20,无,,34398,艾露恩的幻想外套,48055,4,159,70,
100170,生长战衣,护甲,治疗,4,2,20,胸部,240,耐力+98；智力+98；精神+78,法术强度+125；暴击等级+70,法术强度+124；暴击等级+67,法术强度×0.9920；暴击等级×0.9571,5,493,469,0.9915,1,红色,,0,,,,,614,,47602,月蚀长袍,245,4,2,20,无,,35002,野蛮角斗士的龙皮外套,49968,4,159,70,
100171,达拉然之战衣,护甲,治疗,4,2,20,胸部,240,耐力+98；智力+98；精神+86,法术强度+134；急速等级+71,法术强度+135；急速等级+67,法术强度×1.0075；急速等级×0.9437,5,510,487,0.9938,0,,,0,,,,,614,,47094,反目外衣,245,4,2,20,无,,35036,野蛮角斗士的皮甲外套,48599,4,159,70,
100172,腰甲·日蚀,护甲,治疗,4,2,6,腰部,240,耐力+73；智力+74；精神+65,法术强度+103；暴击等级+52,法术强度+109；暴击等级+54,法术强度×1.0583；暴击等级×1.0385,5,340,367,1.0218,0,,,0,,,,,343,,47863,血蹄使者束带,232,4,2,6,无,,33879,守备官的龙皮腰带,47409,4,146,70,
100173,蓝龙军团之腰甲,护甲,治疗,4,2,6,腰部,240,耐力+73；智力+73；精神+64,法术强度+104；急速等级+57,法术强度+97；急速等级+56,法术强度×0.9327；急速等级×0.9825,5,389,371,0.9784,0,,,0,,,,,345,,47308,灰棘腰带,245,4,2,6,无,,33891,守备官的皮甲腰带,47900,4,146,70,
100174,照夜战带,护甲,治疗,4,2,6,腰部,240,耐力+73；智力+74；精神+65,法术强度+103；暴击等级+52,法术强度+111；暴击等级+57,法术强度×1.0777；暴击等级×1.0962,5,340,367,1.0354,2,红色,蓝色,0,,,,,343,,47669,冬至腰带,232,4,2,6,无,,30879,阿加多的腰带,45245,4,141,70,
100175,破军者之腰带,护甲,治疗,4,2,6,腰部,240,耐力+73；智力+73；精神+64,法术强度+104；急速等级+57,法术强度+97；急速等级+56,法术强度×0.9327；急速等级×0.9825,5,389,371,0.9784,1,蓝色,,0,,,,,345,,47140,灰棘束带,245,4,2,6,无,,30914,新月腰带,45244,4,141,70,
100176,苍穹护腿,护甲,治疗,4,2,7,腿部,240,耐力+97；智力+99；精神+87,法术强度+130；暴击等级+68,法术强度+127；暴击等级+67,法术强度×0.9769；暴击等级×0.9853,5,421,481,0.9917,1,蓝色,,0,,,,,538,,46185,征服者的夜歌护腿,226,4,2,7,无,,31029,刺杀者护腿,45428,4,146,70,
100177,灰熊丘陵之腿铠,护甲,治疗,4,2,7,腿部,240,耐力+98；智力+98；精神+78,法术强度+134；急速等级+79,法术强度+146；急速等级+75,法术强度×1.0896；急速等级×0.9494,5,510,487,1.0164,0,,,0,,,,,537,,48150,符文图腾的凯旋护腿,245,4,2,7,无,,31044,雷霆之心护腿,45665,4,146,70,
100178,赤霞腿甲,护甲,治疗,4,2,7,腿部,240,耐力+97；智力+99；精神+78,法术强度+130；暴击等级+77,法术强度+128；暴击等级+80,法术强度×0.9846；暴击等级×1.0390,5,421,481,1.0021,0,,,0,,,,,538,,45847,荒野行者护腿,226,4,2,7,无,,31045,雷霆之心腿甲,45666,4,146,70,
100179,幽暗城腿甲,护甲,治疗,4,2,7,腿部,240,耐力+98；智力+98；精神+78,法术强度+134；急速等级+79,法术强度+128；急速等级+73,法术强度×0.9552；急速等级×0.9241,5,510,487,0.9754,0,,,0,,,,,537,,48135,玛法里奥的凯旋护腿,245,4,2,7,无,,33673,复仇角斗士的龙皮护腿,46946,4,146,70,
100180,风暴领主足甲,护甲,治疗,4,2,8,脚部,240,耐力+73；智力+73；精神+56,法术强度+104；暴击等级+64,法术强度+107；暴击等级+60,法术强度×1.0288；暴击等级×0.9375,5,389,370,0.9973,0,,,0,,,,,422,,47262,严冬长靴,245,4,2,8,无,,34575,刺杀者战靴,48369,4,154,70,
100181,足甲·静潮,护甲,治疗,4,2,8,脚部,240,耐力+73；智力+72；精神+57,法术强度+99；急速等级+59,法术强度+107；急速等级+60,法术强度×1.0808；急速等级×1.0169,5,450,360,1.0250,1,黄色,,0,,,,,426,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,33880,守备官的龙皮长靴,47428,4,146,70,
100182,夜幕之护足,护甲,治疗,4,2,8,脚部,240,耐力+73；智力+73；精神+56,法术强度+104；暴击等级+64,法术强度+99；暴击等级+70,法术强度×0.9519；暴击等级×1.0938,5,389,370,1.0027,2,红色,蓝色,0,,,,,422,,46988,无尽风暴长靴,245,4,2,8,无,,33892,守备官的皮甲长靴,47403,4,146,70,
100183,混沌之足甲,护甲,治疗,4,2,8,脚部,240,耐力+84；智力+70；精神+64,法术强度+112；急速等级+63,法术强度+108；急速等级+57,法术强度×0.9643；急速等级×0.9048,5,342,393,0.9746,0,,,0,,,,,431,,45378,石化森林之靴,225,4,2,8,无,,30886,魔化皮质便鞋,45238,4,141,70,
100184,泰坦监护者焚天护腕,护甲,治疗,4,2,9,腕部,240,智力+55；耐力+55；精神+44,法术强度+84；暴击等级+50,法术强度+83；暴击等级+53,法术强度×0.9881；暴击等级×1.0600,5,267,288,1.0069,0,,,0,,,,,267,,50318,鬼魅裹腕,232,4,2,9,无,,35171,护卫者的皮甲护腕,48682,4,154,70,
100185,魔铁臂甲,护甲,治疗,4,2,9,腕部,240,耐力+55；智力+55；精神+48,法术强度+85；急速等级+48,法术强度+77；急速等级+52,法术强度×0.9059；急速等级×1.0833,5,305,291,0.9863,1,黄色,,0,,,,,268,,47055,秋木护腕,245,4,2,9,无,,30863,致命腕甲,45746,4,141,70,
100186,永夜陨星护臂,护甲,治疗,4,2,9,腕部,240,耐力+55；智力+55；精神+50,法术强度+77；暴击等级+37,法术强度+75；暴击等级+34,法术强度×0.9740；暴击等级×0.9189,5,304,274,0.9818,0,,,0,,,,,269,,50985,剧毒冲击护腕,251,4,2,9,无,,30868,回春护腕,45753,4,141,70,
100187,纳克萨玛斯之腕铠,护甲,治疗,4,2,9,腕部,240,耐力+61；智力+53；精神+53,法术强度+84；急速等级+41,法术强度+84；急速等级+38,法术强度×1.0000；急速等级×0.9268,5,271,292,0.9897,0,,,0,,,,,272,,45149,龙母护腕,232,4,2,9,无,,32324,阴险护腕,47436,4,141,70,
100188,仁心手甲,护甲,治疗,4,2,10,手部,240,耐力+85；智力+70；精神+57,法术强度+93；暴击等级+56,法术强度+94；暴击等级+55,法术强度×1.0108；暴击等级×0.9821,5,356,361,1.0000,0,,,0,,,,,382,,45462,冰冻林地手套,239,4,2,10,无,,35032,野蛮角斗士的皮甲手套,49965,4,159,70,
100189,冬拥湖惊雷手甲,护甲,治疗,4,2,10,手部,240,耐力+73；智力+73；精神+56,法术强度+104；急速等级+64,法术强度+113；急速等级+64,法术强度×1.0865；急速等级×1.0000,5,389,370,1.0243,1,黄色,,0,,,,,383,,48163,玛法里奥的凯旋手套,245,4,2,10,无,,34351,稳固王权护手,48039,4,154,70,
100190,燃烬者之手甲,护甲,治疗,4,2,10,手部,240,耐力+80；智力+71；精神+66,暴击等级+64；法术强度+112,暴击等级+68；法术强度+120,暴击等级×1.0625；法术强度×1.0714,5,388,393,1.0305,2,红色,蓝色,0,,,,,391,,45293,强效治愈护手,239,4,2,10,无,,31026,刺杀者护手,45426,4,146,70,
100191,虚空之手套,护甲,治疗,4,2,10,手部,240,耐力+78；智力+72；精神+67,法术强度+113；急速等级+59,法术强度+102；急速等级+60,法术强度×0.9027；急速等级×1.0169,5,360,389,0.9743,1,蓝色,,0,,,,,382,,50212,欲望精华手套,232,4,2,10,无,,31032,雷霆之心手套,45664,4,146,70,
100192,深渊之战盔,护甲,治疗,4,3,1,头部,240,智力+82；耐力+103,暴击等级+54；每5秒法力回复+43；法术强度+144,暴击等级+57；每5秒法力回复+39；法术强度+152,暴击等级×1.0556；每5秒法力回复×0.9070；法术强度×1.0556,5,446,426,1.0164,2,混沌,红色,0,,,,,1108,,49470,无尽风暴护盔,245,4,3,1,无,,34356,必中护目镜V3.0,45783,4,159,70,
100193,祖尔法拉克之兜帽,护甲,治疗,4,3,1,头部,240,耐力+98；智力+98,法术强度+125；急速等级+63；每5秒法力回复+43,法术强度+137；急速等级+58；每5秒法力回复+47,法术强度×1.0960；急速等级×0.9206；每5秒法力回复×1.0930,5,448,427,1.0258,2,混沌,红色,0,,,,,1108,,47687,热情蕴藏头甲,245,4,3,1,无,,34992,野蛮角斗士的链甲头盔,48606,4,159,70,
100194,亘古·头冠,护甲,治疗,4,3,1,头部,240,耐力+98；智力+98,法术强度+125；暴击等级+72；每5秒法力回复+38,法术强度+128；暴击等级+77；每5秒法力回复+39,法术强度×1.0240；暴击等级×1.0694；每5秒法力回复×1.0263,5,453,431,1.0209,2,混沌,黄色,0,,,,,1108,,48302,萨尔的凯旋头饰,245,4,3,1,无,,35044,野蛮角斗士的鳞甲头盔,48613,4,159,70,
100195,破晓者驭天面甲,护甲,治疗,4,3,1,头部,240,耐力+98；智力+98,法术强度+125；急速等级+63；每5秒法力回复+43,法术强度+120；急速等级+69；每5秒法力回复+40,法术强度×0.9600；急速等级×1.0952；每5秒法力回复×0.9302,5,448,427,0.9953,3,混沌,黄色,0,,,,,1108,,47686,热情蕴藏头盔,245,4,3,1,无,,35079,野蛮角斗士的环甲头盔,48614,4,159,70,蓝色
100196,神圣肩甲,护甲,治疗,4,3,3,肩部,240,耐力+73；智力+73,法术强度+104；暴击等级+56；每5秒法力回复+32,法术强度+111；暴击等级+56；每5秒法力回复+34,法术强度×1.0673；暴击等级×1.0000；每5秒法力回复×1.0625,5,356,338,1.0266,2,蓝色,黄色,0,,,,,1023,,47707,碎地者护肩,245,4,3,3,无,,31006,戈隆追猎者护肩,45682,4,146,70,
100197,仁心肩卫,护甲,治疗,4,3,3,肩部,240,耐力+83；智力+70,法术强度+93；急速等级+48；每5秒法力回复+31,法术强度+94；急速等级+46；每5秒法力回复+29,法术强度×1.0108；急速等级×0.9583；每5秒法力回复×0.9355,5,322,325,0.9908,2,黄色,红色,0,,,,,1018,,45474,斗士的肩铠,239,4,3,3,无,,31022,破天肩垫,45672,4,146,70,
100198,银月城月刃肩甲,护甲,治疗,4,3,3,肩部,240,耐力+73；智力+73,法术强度+104；暴击等级+56；每5秒法力回复+32,法术强度+111；暴击等级+55；每5秒法力回复+31,法术强度×1.0673；暴击等级×0.9821；每5秒法力回复×0.9688,5,356,338,1.0148,1,红色,,0,,,,,1023,,47706,碎地者肩饰,245,4,3,3,无,,33668,复仇角斗士的链甲护肩,46881,4,146,70,
100199,红龙肩铠,护甲,治疗,4,3,3,肩部,240,耐力+73；智力+73,法术强度+104；急速等级+57；每5秒法力回复+32,法术强度+94；急速等级+55；每5秒法力回复+31,法术强度×0.9038；急速等级×0.9649；每5秒法力回复×0.9688,5,356,339,0.9617,2,蓝色,黄色,0,,,,,1023,,48304,萨尔的凯旋护肩,245,4,3,3,无,,33710,复仇角斗士的鳞甲护肩,46890,4,146,70,
100200,圣光·护甲,护甲,治疗,4,3,20,胸部,240,耐力+98；智力+98,法术强度+134；暴击等级+70；每5秒法力回复+43,法术强度+122；暴击等级+72；每5秒法力回复+43,法术强度×0.9104；暴击等级×1.0286；每5秒法力回复×1.0000,5,465,443,0.9774,1,蓝色,,0,,,,,1364,,47325,元素流动胄甲,245,4,3,5,无,,34990,野蛮角斗士的链甲护胸,48604,4,159,70,
100201,幻光照夜护甲,护甲,治疗,4,3,20,胸部,240,耐力+98；智力+98,法术强度+125；急速等级+63；每5秒法力回复+43,法术强度+135；急速等级+59；每5秒法力回复+47,法术强度×1.0800；急速等级×0.9365；每5秒法力回复×1.0930,5,448,427,1.0234,1,黄色,,0,,,,,1364,,47598,诱魔胸铠,245,4,3,5,无,,35042,野蛮角斗士的鳞甲护胸,49969,4,159,70,
100202,辉光胸甲,护甲,治疗,4,3,20,胸部,240,耐力+98；智力+98,法术强度+134；暴击等级+70；每5秒法力回复+43,法术强度+136；暴击等级+65；每5秒法力回复+44,法术强度×1.0149；暴击等级×0.9286；每5秒法力回复×1.0233,5,465,443,0.9955,2,红色,蓝色,0,,,,,1364,,47204,元素流动胸甲,245,4,3,5,无,,30907,狂热追击锁甲,46356,4,151,70,
100203,神圣胸甲,护甲,治疗,4,3,20,胸部,240,耐力+98；智力+98,法术强度+125；急速等级+63；每5秒法力回复+43,法术强度+137；急速等级+58；每5秒法力回复+41,法术强度×1.0960；急速等级×0.9206；每5秒法力回复×0.9535,5,448,427,1.0117,0,,,0,,,,,1364,,47597,诱魔胸铠,245,4,3,5,无,,23565,扭曲虚空的拥抱,45807,4,146,70,
100204,镇魂使之腰带,护甲,治疗,4,3,6,腰部,240,耐力+72；智力+67,法术强度+104；暴击等级+49；每5秒法力回复+36,法术强度+94；暴击等级+47；每5秒法力回复+35,法术强度×0.9038；暴击等级×0.9592；每5秒法力回复×0.9722,5,344,328,0.9604,0,,,0,,,,,767,,48005,暗矛仪祭缚带,245,4,3,6,无,,33877,守备官的链甲束带,47406,4,146,70,
100205,赤霞之腰甲,护甲,治疗,4,3,6,腰部,240,耐力+73；智力+72,法术强度+96；急速等级+68；每5秒法力回复+22,法术强度+94；急速等级+67；每5秒法力回复+23,法术强度×0.9792；急速等级×0.9853；每5秒法力回复×1.0455,5,367,331,0.9940,0,,,0,,,,,770,,50784,亡语信徒腰带,251,4,3,6,无,,33895,守备官的鳞甲束带,47419,4,146,70,
100206,寒冰皇冠源质腰带,护甲,治疗,4,3,6,腰部,240,耐力+72；智力+67,法术强度+104；暴击等级+49；每5秒法力回复+36,法术强度+110；暴击等级+47；每5秒法力回复+33,法术强度×1.0577；暴击等级×0.9592；每5秒法力回复×0.9167,5,344,328,1.0030,0,,,0,,,,,767,,47932,先知束带,245,4,3,6,无,,30919,峡谷猎手腰带,45247,4,141,70,
100207,风暴·扣带,护甲,治疗,4,3,6,腰部,240,耐力+96；智力+65,法术强度+113；急速等级+67；每5秒法力回复+29,法术强度+102；急速等级+64；每5秒法力回复+27,法术强度×0.9027；急速等级×0.9552；每5秒法力回复×0.9310,5,325,370,0.9568,1,蓝色,,0,,,,,770,,45828,寒风护腕,226,4,3,6,无,,32258,自然庇护腰带,45765,4,141,70,
100208,祖尔法拉克晨星腿甲,护甲,治疗,4,3,7,腿部,240,耐力+98；智力+98,法术强度+134；暴击等级+80；每5秒法力回复+38,法术强度+127；暴击等级+84；每5秒法力回复+38,法术强度×0.9478；暴击等级×1.0500；每5秒法力回复×1.0000,5,470,448,0.9933,1,蓝色,,0,,,,,1194,,48303,萨尔的凯旋腿甲,245,4,3,7,无,,35045,野蛮角斗士的鳞甲护腿,48615,4,159,70,
100209,祖尔格拉布之腿铠,护甲,治疗,4,3,7,腿部,240,耐力+98；智力+98,法术强度+134；急速等级+71；每5秒法力回复+43,法术强度+135；急速等级+76；每5秒法力回复+46,法术强度×1.0075；急速等级×1.0704；每5秒法力回复×1.0698,5,465,444,1.0203,1,黄色,,0,,,,,1194,,47289,仇恨深藏护腿,245,4,3,7,无,,31005,戈隆追猎者护腿,45681,4,146,70,
100210,潮汐·腿铠,护甲,治疗,4,3,7,腿部,240,耐力+98；智力+98,法术强度+134；暴击等级+80；每5秒法力回复+38,法术强度+129；暴击等级+82；每5秒法力回复+39,法术强度×0.9627；暴击等级×1.0250；每5秒法力回复×1.0263,5,470,448,0.9955,1,红色,,0,,,,,1194,,48288,努波顿的凯旋腿甲,245,4,3,7,无,,31019,破天护腿,45671,4,146,70,
100211,执剑者护腿,护甲,治疗,4,3,7,腿部,240,耐力+98；智力+98,法术强度+134；急速等级+71；每5秒法力回复+43,法术强度+134；急速等级+71；每5秒法力回复+46,法术强度×1.0000；急速等级×1.0000；每5秒法力回复×1.0698,5,465,444,1.0068,1,蓝色,,0,,,,,1194,,47083,仇恨深藏腿甲,245,4,3,7,无,,33667,复仇角斗士的链甲护腿,46882,4,146,70,
100212,奥妮克希亚秘法战靴,护甲,治疗,4,3,8,脚部,240,耐力+83；智力+70,法术强度+93；暴击等级+57；每5秒法力回复+28,法术强度+97；暴击等级+59；每5秒法力回复+27,法术强度×1.0430；暴击等级×1.0351；每5秒法力回复×0.9643,5,327,331,1.0151,0,,,0,,,,,934,,45615,位面行者之靴,239,4,3,8,无,,33878,守备官的链甲战靴,47408,4,146,70,
100213,剃刀高地战靴,护甲,治疗,4,3,8,脚部,240,耐力+96；智力+64,法术强度+113；急速等级+71；每5秒法力回复+28,法术强度+116；急速等级+65；每5秒法力回复+29,法术强度×1.0265；急速等级×0.9155；每5秒法力回复×1.0357,5,345,372,0.9946,2,黄色,红色,0,,,,,948,,45513,遗忘深渊长靴,232,4,3,8,无,,33896,守备官的鳞甲战靴,47420,4,146,70,
100214,万法王降世足甲,护甲,治疗,4,3,8,脚部,240,耐力+73；智力+73,法术强度+95；每5秒法力回复+25；暴击等级+64,法术强度+87；每5秒法力回复+24；暴击等级+65,法术强度×0.9158；每5秒法力回复×0.9600；暴击等级×1.0156,5,346,330,0.9758,1,红色,,0,,,,,937,,49238,炼狱长靴,245,4,3,8,无,,30873,止水长靴,45240,4,141,70,
100215,圣殿骑士破云踏靴,护甲,治疗,4,3,8,脚部,240,耐力+73；智力+72,法术强度+96；每5秒法力回复+31；急速等级+50,法术强度+92；每5秒法力回复+31；急速等级+47,法术强度×0.9583；每5秒法力回复×1.0000；急速等级×0.9400,5,358,322,0.9783,1,蓝色,,0,,,,,941,,51006,躲闪之靴,251,4,3,8,无,,30880,疾步长靴,45239,4,141,70,
100216,护臂·新月,护甲,治疗,4,3,9,腕部,240,耐力+55；智力+55,法术强度+85；每5秒法力回复+24；暴击等级+48,法术强度+80；每5秒法力回复+25；暴击等级+47,法术强度×0.9412；每5秒法力回复×1.0417；暴击等级×0.9792,5,280,267,0.9813,2,蓝色,黄色,0,,,,,596,,47280,溷沌预兆裹腕,245,4,3,9,无,,35172,护卫者的鳞甲护腕,48673,4,154,70,
100217,黑翼之巢紫电腕铠,护甲,治疗,4,3,9,腕部,240,耐力+55；智力+55,法术强度+77；急速等级+48；每5秒法力回复+16,法术强度+73；急速等级+46；每5秒法力回复+17,法术强度×0.9481；急速等级×0.9583；每5秒法力回复×1.0625,5,263,251,0.9801,1,黄色,,0,,,,,596,,47580,黑甲护腕,245,4,3,9,无,,30864,寻路者护腕,45744,4,141,70,
100218,苍穹王座寒霜护臂,护甲,治疗,4,3,9,腕部,240,耐力+55；智力+55,法术强度+85；每5秒法力回复+24；暴击等级+48,法术强度+83；每5秒法力回复+22；暴击等级+48,法术强度×0.9765；每5秒法力回复×0.9167；暴击等级×1.0000,5,280,267,0.9850,2,红色,蓝色,0,,,,,596,,47056,溷沌预兆护腕,245,4,3,9,无,,30869,嚎风护腕,45750,4,141,70,
