entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字理论归一值,触发属性预算系数,绿字触发附加前归一值,绿字最终值,绿字最终随机系数,属性条数,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,触发法术ID,触发方式,触发效果类别,效果来源装等,效果来源物品ID,效果来源物品,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
103172,新生裁断战盔,护甲,治疗,4,4,1,头部,280,耐力+143；智力+143,法术强度+200；暴击等级+109；每5秒法力回复+55,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+109；每5秒法力回复+55,法术强度+197；暴击等级+109；每5秒法力回复+60,法术强度×0.9850；暴击等级×1.0000；每5秒法力回复×1.0909,5,2,混沌,蓝色,0,,,,2259,,,,,,,,50701,被遗忘面甲,277,4,4,1,无,,34401,乌瑟尔的决心之盔,48057,4,159,70,
103173,圣光裁断面罩,护甲,治疗,4,4,1,头部,280,耐力+143；智力+145,法术强度+196；暴击等级+107；每5秒法力回复+54,1.00（触发效果额外，不扣属性预算）,法术强度+196；暴击等级+107；每5秒法力回复+54,法术强度+211；暴击等级+99；每5秒法力回复+57,法术强度×1.0765；暴击等级×0.9252；每5秒法力回复×1.0556,5,2,混沌,黄色,0,,,,2247,,,,,,,,50060,遗忘者面甲,264,4,4,1,无,,35029,野蛮角斗士的板层甲头盔,48740,4,159,70,
103174,泰坦遗训·战盔,护甲,治疗,4,4,1,头部,280,耐力+143；智力+143,法术强度+200；暴击等级+109；每5秒法力回复+55,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+109；每5秒法力回复+55,法术强度+186；暴击等级+108；每5秒法力回复+60,法术强度×0.9300；暴击等级×0.9908；每5秒法力回复×1.0909,5,3,混沌,红色,0,,,,2259,,,,,,,,50701,被遗忘面甲,277,4,4,1,无,,35068,野蛮角斗士的板甲头盔,49685,4,159,70,蓝色
103175,暮光审判官唤醒披肩,护甲,治疗,4,4,3,肩部,280,耐力+106；智力+106,法术强度+144；暴击等级+93；每5秒法力回复+38,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93；每5秒法力回复+38,法术强度+145；暴击等级+101；每5秒法力回复+41,法术强度×1.0069；暴击等级×1.0860；每5秒法力回复×1.0789,5,2,蓝色,黄色,0,,,,2085,,,,,,,,50617,锈蚀骨尖肩铠,277,4,4,3,无,,35070,野蛮角斗士的板甲护肩,49995,4,159,70,
103176,无声裁决衬肩,护甲,治疗,4,4,3,肩部,280,耐力+107；智力+112,法术强度+159；急速等级+94；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+159；急速等级+94；每5秒法力回复+42,法术强度+156；急速等级+95；每5秒法力回复+39,法术强度×0.9811；急速等级×1.0106；每5秒法力回复×0.9286,5,1,黄色,,0,,,,2077,,,,,,,,45140,锋鳞护肩,232,4,4,3,无,,30979,冲锋肩刃,45661,4,146,70,
103177,祈愿之无声裁决,护甲,治疗,4,4,3,肩部,280,耐力+106；智力+106,法术强度+144；暴击等级+93；每5秒法力回复+38,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93；每5秒法力回复+38,法术强度+147；暴击等级+86；每5秒法力回复+39,法术强度×1.0208；暴击等级×0.9247；每5秒法力回复×1.0263,5,1,红色,,0,,,,2085,,,,,,,,50617,锈蚀骨尖肩铠,277,4,4,3,无,,30996,光明使者护肩,45884,4,146,70,
103178,静谧护肩,护甲,治疗,4,4,3,肩部,280,耐力+107；智力+108,法术强度+140；暴击等级+75；每5秒法力回复+47,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+75；每5秒法力回复+47,法术强度+130；暴击等级+80；每5秒法力回复+49,法术强度×0.9286；暴击等级×1.0667；每5秒法力回复×1.0426,5,1,蓝色,,0,,,,2074,,,,,,,,51824,翡翠圣徒肩甲,264,4,4,3,无,,33699,复仇角斗士的板层甲护肩,46953,4,146,70,
103179,永恒之眼月泉战甲,护甲,治疗,4,4,5,胸部,280,耐力+143；智力+145,法术强度+186；每5秒法力回复+49；暴击等级+126,1.00（触发效果额外，不扣属性预算）,法术强度+186；每5秒法力回复+49；暴击等级+126,法术强度+173；每5秒法力回复+53；暴击等级+116,法术强度×0.9301；每5秒法力回复×1.0816；暴击等级×0.9206,5,1,蓝色,,0,,,,2766,,,,,,,,51861,败血缝合胸铠,264,4,4,5,无,,34395,尊贵仲裁者胸甲,48053,4,159,70,
103180,星界旅者的护胸,护甲,治疗,4,4,5,胸部,280,耐力+143；智力+196,法术强度+162；每5秒法力回复+55；急速等级+104,1.00（触发效果额外，不扣属性预算）,法术强度+162；每5秒法力回复+55；急速等级+104,法术强度+153；每5秒法力回复+57；急速等级+110,法术强度×0.9444；每5秒法力回复×1.0364；急速等级×1.0577,5,2,黄色,红色,0,,,,2796,,,,,,,,45305,冥界胸铠,225,4,4,5,无,,35027,野蛮角斗士的板层甲护胸,50001,4,159,70,
103181,符文大师洞察护胸,护甲,治疗,4,4,5,胸部,280,耐力+143；智力+145,法术强度+186；暴击等级+117；每5秒法力回复+54,1.00（触发效果额外，不扣属性预算）,法术强度+186；暴击等级+117；每5秒法力回复+54,法术强度+182；暴击等级+115；每5秒法力回复+56,法术强度×0.9785；暴击等级×0.9829；每5秒法力回复×1.0370,5,0,,,0,,,,2766,,,,,,,,50969,无言真理护胸,264,4,4,5,无,,35066,野蛮角斗士的板甲护胸,49999,4,159,70,
103182,银色勇士回响胸甲,护甲,治疗,4,4,5,胸部,280,耐力+143；智力+145,法术强度+193；暴击等级+107；每5秒法力回复+63,1.00（触发效果额外，不扣属性预算）,法术强度+193；暴击等级+107；每5秒法力回复+63,法术强度+203；暴击等级+105；每5秒法力回复+60,法术强度×1.0518；暴击等级×0.9813；每5秒法力回复×0.9524,5,0,,,0,,,,2758,,,,,,,,48589,莉亚德琳的凯旋护胸,258,4,4,5,无,,30904,救世胸铠,46351,4,151,70,
103183,群星之庭之束带,护甲,治疗,4,4,6,腰部,280,耐力+106；智力+106,法术强度+144；暴击等级+93；每5秒法力回复+38,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93；每5秒法力回复+38,法术强度+150；暴击等级+85；每5秒法力回复+38,法术强度×1.0417；暴击等级×0.9140；每5秒法力回复×1.0000,5,1,蓝色,,0,,,,1564,,,,,,,,50667,公正之怒腰带,277,4,4,6,无,,34547,冲锋束腰,48361,4,154,70,
103184,星界旅者之救赎,护甲,治疗,4,4,6,腰部,280,耐力+107；智力+108,法术强度+140；急速等级+91；每5秒法力回复+37,1.00（触发效果额外，不扣属性预算）,法术强度+140；急速等级+91；每5秒法力回复+37,法术强度+143；急速等级+91；每5秒法力回复+38,法术强度×1.0214；急速等级×1.0000；每5秒法力回复×1.0270,5,2,黄色,红色,0,,,,1556,,,,,,,,51836,紧致腰带,264,4,4,6,无,,33811,守备官的板甲腰带,47047,4,146,70,
103185,群星回响围带,护甲,治疗,4,4,6,腰部,280,耐力+106；智力+106,法术强度+144；暴击等级+93；每5秒法力回复+38,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+93；每5秒法力回复+38,法术强度+131；暴击等级+88；每5秒法力回复+40,法术强度×0.9097；暴击等级×0.9462；每5秒法力回复×1.0526,5,2,红色,蓝色,0,,,,1564,,,,,,,,50667,公正之怒腰带,277,4,4,6,无,,33888,守备官的板层甲腰带,47415,4,146,70,
103186,风暴领主之晨曦,护甲,治疗,4,4,6,腰部,280,耐力+107；智力+108,法术强度+140；急速等级+91；每5秒法力回复+37,1.00（触发效果额外，不扣属性预算）,法术强度+140；急速等级+91；每5秒法力回复+37,法术强度+143；急速等级+98；每5秒法力回复+35,法术强度×1.0214；急速等级×1.0769；每5秒法力回复×0.9459,5,0,,,0,,,,1556,,,,,,,,51836,紧致腰带,264,4,4,6,无,,30897,希望束带,48291,4,141,70,
103187,圣光腿甲,护甲,治疗,4,4,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；每5秒法力回复+55,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；每5秒法力回复+55,法术强度+201；暴击等级+126；每5秒法力回复+51,法术强度×1.0050；暴击等级×1.0000；每5秒法力回复×0.9273,5,1,蓝色,,0,,,,2433,,,,,,,,51271,神圣光誓护胫,277,4,4,7,无,,35030,野蛮角斗士的板层甲护腿,50002,4,159,70,
103188,泰坦遗迹静谧战裙,护甲,治疗,4,4,7,腿部,280,耐力+143；智力+143,法术强度+191；暴击等级+109；每5秒法力回复+59,1.00（触发效果额外，不扣属性预算）,法术强度+191；暴击等级+109；每5秒法力回复+59,法术强度+203；暴击等级+107；每5秒法力回复+61,法术强度×1.0628；暴击等级×0.9817；每5秒法力回复×1.0339,5,1,黄色,,0,,,,2433,,,,,,,,50623,残烛护腿,277,4,4,7,无,,35069,野蛮角斗士的板甲护腿,49996,4,159,70,
103189,幽影·战裙,护甲,治疗,4,4,7,腿部,280,耐力+143；智力+143,法术强度+200；暴击等级+126；每5秒法力回复+55,1.00（触发效果额外，不扣属性预算）,法术强度+200；暴击等级+126；每5秒法力回复+55,法术强度+206；暴击等级+138；每5秒法力回复+60,法术强度×1.0300；暴击等级×1.0952；每5秒法力回复×1.0909,5,1,红色,,0,,,,2433,,,,,,,,51271,神圣光誓护胫,277,4,4,7,无,,30903,无尽怒气腿甲,46359,4,151,70,
103190,索拉查之长裤,护甲,治疗,4,4,7,腿部,280,耐力+144；智力+143,法术强度+200；急速等级+113；每5秒法力回复+64,1.00（触发效果额外，不扣属性预算）,法术强度+200；急速等级+113；每5秒法力回复+64,法术强度+200；急速等级+117；每5秒法力回复+70,法术强度×1.0000；急速等级×1.0354；每5秒法力回复×1.0938,5,2,蓝色,黄色,0,,,,2383,,,,,,,,50229,寒冰深渊腿甲,232,4,4,7,无,,30977,冲锋护腿,45660,4,146,70,
103191,游侠将军庇佑战靴,护甲,治疗,4,4,8,脚部,280,耐力+106；智力+106,法术强度+144；暴击等级+84；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+84；每5秒法力回复+42,法术强度+148；暴击等级+78；每5秒法力回复+39,法术强度×1.0278；暴击等级×0.9286；每5秒法力回复×0.9286,5,0,,,0,,,,1912,,,,,,,,50632,送葬长靴,277,4,4,8,无,,33812,守备官的板甲护胫,44735,4,146,70,
103192,荒野猎手之月泉,护甲,治疗,4,4,8,脚部,280,耐力+121；智力+104,法术强度+129；急速等级+77；每5秒法力回复+41,1.00（触发效果额外，不扣属性预算）,法术强度+129；急速等级+77；每5秒法力回复+41,法术强度+138；急速等级+73；每5秒法力回复+42,法术强度×1.0698；急速等级×0.9481；每5秒法力回复×1.0244,5,0,,,0,,,,1888,,,,,,,,45561,命运之靴,226,4,4,8,无,,33890,守备官的板层甲护胫,47417,4,146,70,
103193,生命回响足甲,护甲,治疗,4,4,8,脚部,280,耐力+106；智力+106,法术强度+144；暴击等级+84；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+144；暴击等级+84；每5秒法力回复+42,法术强度+142；暴击等级+76；每5秒法力回复+42,法术强度×0.9861；暴击等级×0.9048；每5秒法力回复×1.0000,5,0,,,0,,,,1912,,,,,,,,50632,送葬长靴,277,4,4,8,无,,32956,Tom's Boots 3,29863,4,145,70,
103194,灰熊丘陵纯净长靴,护甲,治疗,4,4,8,脚部,280,耐力+107；智力+108,法术强度+140；暴击等级+93；每5秒法力回复+37,1.00（触发效果额外，不扣属性预算）,法术强度+140；暴击等级+93；每5秒法力回复+37,法术强度+147；暴击等级+93；每5秒法力回复+40,法术强度×1.0500；暴击等级×1.0000；每5秒法力回复×1.0811,5,1,蓝色,,0,,,,1901,,,,,,,,51931,朽骨长靴,264,4,4,8,无,,32243,珍珠镶饰长靴,45332,4,141,70,
103195,嚎风峡湾晨曦护臂,护甲,治疗,4,4,9,腕部,280,耐力+80；智力+81,法术强度+110；暴击等级+71；每5秒法力回复+30,1.00（触发效果额外，不扣属性预算）,法术强度+110；暴击等级+71；每5秒法力回复+30,法术强度+103；暴击等级+72；每5秒法力回复+28,法术强度×0.9364；暴击等级×1.0141；每5秒法力回复×0.9333,5,1,蓝色,,0,,,,1207,,,,,,,,47455,碎约护腕,258,4,4,9,无,,34442,冲锋腕甲,48348,4,154,70,
103196,失落荣光·护臂,护甲,治疗,4,4,9,腕部,280,耐力+92；智力+76,法术强度+111；急速等级+59；每5秒法力回复+35,1.00（触发效果额外，不扣属性预算）,法术强度+111；急速等级+59；每5秒法力回复+35,法术强度+108；急速等级+59；每5秒法力回复+38,法术强度×0.9730；急速等级×1.0000；每5秒法力回复×1.0857,5,1,黄色,,0,,,,1210,,,,,,,,51907,灰霭护腕,264,4,4,9,无,,35170,护卫者的板层甲护腕,48662,4,154,70,
103197,圣贤镇压臂甲,护甲,治疗,4,4,9,腕部,280,耐力+80；智力+81,法术强度+110；暴击等级+71；每5秒法力回复+30,1.00（触发效果额外，不扣属性预算）,法术强度+110；暴击等级+71；每5秒法力回复+30,法术强度+103；暴击等级+73；每5秒法力回复+31,法术强度×0.9364；暴击等级×1.0282；每5秒法力回复×1.0333,5,1,红色,,0,,,,1207,,,,,,,,47098,碎约护臂,258,4,4,9,无,,35176,护卫者的板甲护腕,48664,4,154,70,
103198,泰坦监护者之新生,护甲,治疗,4,4,9,腕部,280,耐力+92；智力+76,法术强度+111；急速等级+59；每5秒法力回复+35,1.00（触发效果额外，不扣属性预算）,法术强度+111；急速等级+59；每5秒法力回复+35,法术强度+111；急速等级+58；每5秒法力回复+38,法术强度×1.0000；急速等级×0.9831；每5秒法力回复×1.0857,5,0,,,0,,,,1210,,,,,,,,51907,灰霭护腕,264,4,4,9,无,,32959,Tom's Bracer 3,29859,4,145,70,
103199,泰坦监护者的手甲,护甲,治疗,4,4,10,手部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；每5秒法力回复+42,法术强度+148；暴击等级+95；每5秒法力回复+46,法术强度×0.9610；暴击等级×1.0215；每5秒法力回复×1.0952,5,2,蓝色,黄色,0,,,,1738,,,,,,,,51270,神圣光誓手套,277,4,4,10,无,,35067,野蛮角斗士的板甲手套,49998,4,159,70,
103200,冰冠之臂铠,护甲,治疗,4,4,10,手部,280,耐力+106；智力+107,法术强度+150；急速等级+91；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+150；急速等级+91；每5秒法力回复+42,法术强度+149；急速等级+87；每5秒法力回复+44,法术强度×0.9933；急速等级×0.9560；每5秒法力回复×1.0476,5,0,,,0,,,,1724,,,,,,,,48588,莉亚德琳的凯旋手套,258,4,4,10,无,,34352,堡垒手套,48036,4,156,70,
103201,烈日·裹手,护甲,治疗,4,4,10,手部,280,耐力+106；智力+106,法术强度+154；暴击等级+93；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+154；暴击等级+93；每5秒法力回复+42,法术强度+145；暴击等级+90；每5秒法力回复+46,法术强度×0.9416；暴击等级×0.9677；每5秒法力回复×1.0952,5,1,红色,,0,,,,1738,,,,,,,,51270,神圣光誓手套,277,4,4,10,无,,30969,冲锋护手,45659,4,146,70,
103202,风暴峭壁的新月,护甲,治疗,4,4,10,手部,280,耐力+106；智力+107,法术强度+150；急速等级+91；每5秒法力回复+42,1.00（触发效果额外，不扣属性预算）,法术强度+150；急速等级+91；每5秒法力回复+42,法术强度+162；急速等级+89；每5秒法力回复+38,法术强度×1.0800；急速等级×0.9780；每5秒法力回复×0.9048,5,1,蓝色,,0,,,,1724,,,,,,,,48583,图拉扬的凯旋手套,258,4,4,10,无,,30982,光明使者护手,45685,4,146,70,
103203,游侠镇压头冠,护甲,敏捷输出,4,2,1,头部,280,敏捷+191；耐力+188,攻击强度+200；暴击等级+117；护甲穿透等级+109,1.00（触发效果额外，不扣属性预算）,攻击强度+200；暴击等级+117；护甲穿透等级+109,攻击强度+191；暴击等级+125；护甲穿透等级+99,攻击强度×0.9550；暴击等级×1.0684；护甲穿透等级×0.9083,5,3,混沌,蓝色,0,,,,569,,,,,,,,51296,神圣树纹头甲,277,4,2,1,无,,31027,刺杀者头盔,45434,4,146,70,红色
103204,风暴领主洞察面罩,护甲,敏捷输出,4,2,1,头部,280,敏捷+191；耐力+188,攻击强度+200；暴击等级+117；护甲穿透等级+109,1.00（触发效果额外，不扣属性预算）,攻击强度+200；暴击等级+117；护甲穿透等级+109,攻击强度+196；暴击等级+109；护甲穿透等级+113,攻击强度×0.9800；暴击等级×0.9316；护甲穿透等级×1.0367,5,2,混沌,红色,0,,,,569,,,,,,,,51252,神圣影刃头盔,277,4,2,1,无,,31037,雷霆之心头盔,45663,4,146,70,
103205,风暴前夜王冠,护甲,敏捷输出,4,2,1,头部,280,敏捷+166；耐力+188,攻击强度+249；暴击等级+126；命中等级+101,1.00（触发效果额外，不扣属性预算）,攻击强度+249；暴击等级+126；命中等级+101,攻击强度+271；暴击等级+116；命中等级+91,攻击强度×1.0884；暴击等级×0.9206；命中等级×0.9010,5,3,混沌,黄色,0,,,,569,,,,,,,,50713,鬼王的酷刑袋,277,4,2,1,无,,33672,复仇角斗士的龙皮头盔,48262,4,146,70,黄色
103206,夜幕头冠,护甲,敏捷输出,4,2,1,头部,280,敏捷+192；耐力+129,攻击强度+256；急速等级+105；护甲穿透等级+114,1.00（触发效果额外，不扣属性预算）,攻击强度+256；急速等级+105；护甲穿透等级+114,攻击强度+259；急速等级+114；护甲穿透等级+106,攻击强度×1.0117；急速等级×1.0857；护甲穿透等级×0.9298,5,2,混沌,黄色,0,,,,566,,,,,,,,51866,毁弃的肠袋,264,4,2,1,无,,33691,复仇角斗士的科多皮头盔,48261,4,146,70,
103207,霜火披肩,护甲,敏捷输出,4,2,3,肩部,280,敏捷+133；耐力+140,攻击强度+168；暴击等级+93；急速等级+76,1.00（触发效果额外，不扣属性预算）,攻击强度+168；暴击等级+93；急速等级+76,攻击强度+174；暴击等级+92；急速等级+71,攻击强度×1.0357；暴击等级×0.9892；急速等级×0.9342,5,1,红色,,0,,,,526,,,,,,,,50646,教徒浸血肩甲,277,4,2,3,无,,33703,复仇角斗士的皮甲护肩,46938,4,146,70,
103208,肩卫·余烬,护甲,敏捷输出,4,2,3,肩部,280,敏捷+142；耐力+140,攻击强度+168；暴击等级+93；护甲穿透等级+84,1.00（触发效果额外，不扣属性预算）,攻击强度+168；暴击等级+93；护甲穿透等级+84,攻击强度+178；暴击等级+84；护甲穿透等级+86,攻击强度×1.0595；暴击等级×0.9032；护甲穿透等级×1.0238,5,1,黄色,,0,,,,526,,,,,,,,51299,神圣树纹肩垫,277,4,2,3,无,,30917,刀锋怒火护肩,45752,4,141,70,
103209,银色勇士之夜幕,护甲,敏捷输出,4,2,3,肩部,280,敏捷+142；耐力+140,攻击强度+168；暴击等级+93；命中等级+84,1.00（触发效果额外，不扣属性预算）,攻击强度+168；暴击等级+93；命中等级+84,攻击强度+172；暴击等级+96；命中等级+76,攻击强度×1.0238；暴击等级×1.0323；命中等级×0.9048,5,0,,,0,,,,526,,,,,,,,51254,神圣影刃护肩,277,4,2,3,无,,32377,黑暗护肩,45816,4,141,70,
103210,龙眠的苍白月色,护甲,敏捷输出,4,2,3,肩部,280,敏捷+143；耐力+140,攻击强度+174；急速等级+91；护甲穿透等级+82,1.00（触发效果额外，不扣属性预算）,攻击强度+174；急速等级+91；护甲穿透等级+82,攻击强度+189；急速等级+89；护甲穿透等级+77,攻击强度×1.0862；急速等级×0.9780；护甲穿透等级×0.9390,5,0,,,0,,,,521,,,,,,,,48207,玛法里奥的凯旋肩甲,258,4,2,3,无,,32518,旋叶护肩,45758,4,141,70,
103211,暗影穹殿游侠战衣,护甲,敏捷输出,4,2,5,胸部,280,敏捷+185；耐力+188,攻击强度+236；暴击等级+119；急速等级+110,1.00（触发效果额外，不扣属性预算）,攻击强度+236；暴击等级+119；急速等级+110,攻击强度+231；暴击等级+129；急速等级+116,攻击强度×0.9788；暴击等级×1.0840；急速等级×1.0545,5,0,,,0,,,,695,,,,,,,,48206,玛法里奥的凯旋外衣,258,4,2,20,无,,30905,午夜胸甲,46352,4,151,70,
103212,凛冬余威·护胸,护甲,敏捷输出,4,2,5,胸部,280,敏捷+191；耐力+188,攻击强度+216；暴击等级+126；护甲穿透等级+109,1.00（触发效果额外，不扣属性预算）,攻击强度+216；暴击等级+126；护甲穿透等级+109,攻击强度+230；暴击等级+126；护甲穿透等级+107,攻击强度×1.0648；暴击等级×1.0000；护甲穿透等级×0.9817,5,1,黄色,,0,,,,700,,,,,,,,51298,神圣树纹胸甲,277,4,2,20,无,,31028,刺杀者胸甲,45425,4,146,70,
103213,暮光前线的凛冬余威,护甲,敏捷输出,4,2,5,胸部,280,敏捷+185；耐力+188,攻击强度+217；暴击等级+126；命中等级+117,1.00（触发效果额外，不扣属性预算）,攻击强度+217；暴击等级+126；命中等级+117,攻击强度+213；暴击等级+126；命中等级+108,攻击强度×0.9816；暴击等级×1.0000；命中等级×0.9231,5,0,,,0,,,,695,,,,,,,,48233,迦罗娜的凯旋胸甲,258,4,2,5,无,,31041,雷霆之心外套,45662,4,146,70,
103214,银色勇士的胸衣,护甲,敏捷输出,4,2,5,胸部,280,敏捷+187；耐力+124,攻击强度+253；急速等级+127；护甲穿透等级+104,1.00（触发效果额外，不扣属性预算）,攻击强度+253；急速等级+127；护甲穿透等级+104,攻击强度+276；急速等级+128；护甲穿透等级+101,攻击强度×1.0909；急速等级×1.0079；护甲穿透等级×0.9712,5,1,红色,,0,,,,697,,,,,,,,51923,极寒绞索胸甲,264,4,2,5,无,,33675,复仇角斗士的龙皮外套,46945,4,146,70,
103215,黎明圣所之腰链,护甲,敏捷输出,4,2,6,腰部,280,敏捷+125；耐力+140,攻击强度+185；暴击等级+93；护甲穿透等级+76,1.00（触发效果额外，不扣属性预算）,攻击强度+185；暴击等级+93；护甲穿透等级+76,攻击强度+192；暴击等级+99；护甲穿透等级+75,攻击强度×1.0378；暴击等级×1.0645；护甲穿透等级×0.9868,5,2,红色,黄色,0,,,,394,,,,,,,,50707,亚斯崔立安的缝合系腰,277,4,2,6,无,,32265,暗影行者腰带,45730,4,141,70,
103216,荒野之寒星,护甲,敏捷输出,4,2,6,腰部,280,敏捷+125；耐力+140,攻击强度+185；暴击等级+93；护甲穿透等级+76,1.00（触发效果额外，不扣属性预算）,攻击强度+185；暴击等级+93；护甲穿透等级+76,攻击强度+172；暴击等级+94；护甲穿透等级+83,攻击强度×0.9297；暴击等级×1.0108；护甲穿透等级×1.0921,5,1,黄色,,0,,,,394,,,,,,,,50707,亚斯崔立安的缝合系腰,277,4,2,6,无,,32339,原始王权腰带,45264,4,141,70,
103217,腰链·寒星,护甲,敏捷输出,4,2,6,腰部,280,敏捷+129；耐力+107,攻击强度+203；命中等级+63；暴击等级+100,1.00（触发效果额外，不扣属性预算）,攻击强度+203；命中等级+63；暴击等级+100,攻击强度+189；命中等级+60；暴击等级+100,攻击强度×0.9310；命中等级×0.9524；暴击等级×1.0000,5,1,蓝色,,0,,,,392,,,,,,,,51925,窃魂者的织带,264,4,2,6,无,,34929,寂静路途腰带,48483,4,141,70,
103218,长夜腰带,护甲,敏捷输出,4,2,6,腰部,280,敏捷+149；耐力+139,攻击强度+143；急速等级+73；护甲穿透等级+91,1.00（触发效果额外，不扣属性预算）,攻击强度+143；急速等级+73；护甲穿透等级+91,攻击强度+150；急速等级+79；护甲穿透等级+89,攻击强度×1.0490；急速等级×1.0822；护甲穿透等级×0.9780,5,1,红色,,0,,,,392,,,,,,,,50995,复仇腰索,264,4,2,6,无,,30106,百亡腰带,42636,4,138,70,
103219,幽影·腿铠,护甲,敏捷输出,4,2,7,腿部,280,敏捷+202；耐力+188,攻击强度+187；急速等级+123；暴击等级+98,1.00（触发效果额外，不扣属性预算）,攻击强度+187；急速等级+123；暴击等级+98,攻击强度+180；急速等级+121；暴击等级+99,攻击强度×0.9626；急速等级×0.9837；暴击等级×1.0102,5,1,红色,,0,,,,610,,,,,,,,51889,染疫皮制护腿,264,4,2,7,无,,33702,复仇角斗士的皮甲护腿,46937,4,146,70,
103220,长裤·不灭烽火,护甲,敏捷输出,4,2,7,腿部,280,敏捷+172；耐力+165,攻击强度+258；护甲穿透等级+81；暴击等级+136,1.00（触发效果额外，不扣属性预算）,攻击强度+258；护甲穿透等级+81；暴击等级+136,攻击强度+243；护甲穿透等级+85；暴击等级+145,攻击强度×0.9419；护甲穿透等级×1.0494；暴击等级×1.0662,5,1,黄色,,0,,,,610,,,,,,,,51841,象牙镶嵌护腿,264,4,2,7,无,,30898,秘密商人长裤,45227,4,141,70,
103221,迅牙之破晓,护甲,敏捷输出,4,2,7,腿部,280,敏捷+174；耐力+188,攻击强度+233；暴击等级+126；命中等级+101,1.00（触发效果额外，不扣属性预算）,攻击强度+233；暴击等级+126；命中等级+101,攻击强度+237；暴击等级+129；命中等级+103,攻击强度×1.0172；暴击等级×1.0238；命中等级×1.0198,5,0,,,0,,,,613,,,,,,,,50697,坏疽护腿,277,4,2,7,无,,32271,不朽自然褶裙,45724,4,141,70,
103222,群星回响·护胫,护甲,敏捷输出,4,2,7,腿部,280,敏捷+191；耐力+188,攻击强度+216；护甲穿透等级+125；精准等级+109,1.00（触发效果额外，不扣属性预算）,攻击强度+216；护甲穿透等级+125；精准等级+109,攻击强度+195；护甲穿透等级+126；精准等级+110,攻击强度×0.9028；护甲穿透等级×1.0080；精准等级×1.0092,5,0,,,0,,,,613,,,,,,,,51297,神圣树纹护腿,277,4,2,7,无,,34901,巡林者护腿,48449,4,141,70,
103223,锐眼征伐足具,护甲,敏捷输出,4,2,8,脚部,280,敏捷+137；耐力+111；智力+73,攻击强度+158；暴击等级+93；护甲穿透等级+58,1.00（触发效果额外，不扣属性预算）,攻击强度+158；暴击等级+93；护甲穿透等级+58,攻击强度+159；暴击等级+89；护甲穿透等级+56,攻击强度×1.0063；暴击等级×0.9570；护甲穿透等级×0.9655,6,1,红色,,0,,,,1072,,,,,,,,54577,回归之足音,284,4,2,8,无,,30891,黑羽之靴,45800,4,141,70,
103224,迅牙之龙魂低语,护甲,敏捷输出,4,2,8,脚部,280,敏捷+137；耐力+111；智力+73,攻击强度+158；暴击等级+93；护甲穿透等级+58,1.00（触发效果额外，不扣属性预算）,攻击强度+158；暴击等级+93；护甲穿透等级+58,攻击强度+153；暴击等级+89；护甲穿透等级+58,攻击强度×0.9684；暴击等级×0.9570；护甲穿透等级×1.0000,6,0,,,0,,,,1072,,,,,,,,54577,回归之足音,284,4,2,8,无,,32352,自然护卫者之靴,45326,4,141,70,
103225,冰冠的余烬,护甲,敏捷输出,4,2,8,脚部,280,敏捷+125；耐力+140,攻击强度+185；暴击等级+93；护甲穿透等级+76,1.00（触发效果额外，不扣属性预算）,攻击强度+185；暴击等级+93；护甲穿透等级+76,攻击强度+174；暴击等级+90；护甲穿透等级+73,攻击强度×0.9405；暴击等级×0.9677；护甲穿透等级×0.9605,5,1,蓝色,,0,,,,481,,,,,,,,50607,结霜皮靴,277,4,2,8,无,,32366,暗影主宰之靴,45729,4,141,70,
