entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,260归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级,插槽3颜色
101311,雷霆裂云腰链,护甲,治疗,4,1,6,腰部,260,耐力+88；智力+88；精神+78,法术强度+116；急速等级+61,法术强度+127；急速等级+58,法术强度×1.0948；急速等级×0.9508,5,422,431,1.0186,1,黄色,,0,,,,196,,46973,黑雾束带,258,4,1,6,无,,34557,风暴腰带,48354,4,154,70,
101312,苍白惊涛腰带,护甲,治疗,4,1,6,腰部,260,耐力+89；智力+85；精神+83,法术强度+134；暴击等级+54,法术强度+144；暴击等级+57,法术强度×1.0746；暴击等级×1.0556,5,387,445,1.0292,1,红色,,0,,,,194,,48054,永恒束带,245,4,1,6,无,,33882,守备官的鬼纹腰带,47412,4,146,70,
101313,守望者降临腰链,护甲,治疗,4,1,6,腰部,260,耐力+89；智力+88；精神+60,法术强度+118；急速等级+75,法术强度+124；急速等级+71,法术强度×1.0508；急速等级×0.9467,5,446,430,1.0047,2,蓝色,黄色,0,,,,197,,51930,恩医束带,264,4,1,6,无,,33900,守备官的月布腰带,47421,4,146,70,
101314,仁心战裙,护甲,治疗,4,1,7,腿部,260,耐力+118；智力+118；精神+88,法术强度+163；暴击等级+104,法术强度+155；暴击等级+107,法术强度×0.9509；暴击等级×1.0288,5,580,591,0.9915,0,,,0,,,,305,,47765,逐日者的凯旋护腿,258,4,1,7,无,,35013,野蛮角斗士的邪纹长裤,49955,4,159,70,
101315,裤腿·天穹,护甲,治疗,4,1,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+163；急速等级+96,法术强度+165；急速等级+102,法术强度×1.0123；急速等级×1.0625,5,580,591,1.0135,1,黄色,,0,,,,305,,48059,萨布拉的凯旋护腿,258,4,1,7,无,,35055,野蛮角斗士的月布护腿,49964,4,159,70,
101316,石爪山裤腿,护甲,治疗,4,1,7,腿部,260,耐力+118；智力+118；精神+88,法术强度+163；暴击等级+104,法术强度+164；暴击等级+106,法术强度×1.0061；暴击等级×1.0192,5,580,591,1.0051,1,红色,,0,,,,305,,47760,卡德加的凯旋护腿,258,4,1,7,无,,35100,野蛮角斗士的丝质长裤,49959,4,159,70,
101317,穿云裤腿,护甲,治疗,4,1,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+163；急速等级+96,法术强度+149；急速等级+103,法术强度×0.9141；急速等级×1.0729,5,580,591,0.9882,2,蓝色,黄色,0,,,,305,,48033,维伦的凯旋护腿,258,4,1,7,无,,30912,永恒护腿,45218,4,151,70,
101318,赤霞长靴,护甲,治疗,4,1,8,脚部,260,耐力+89；智力+88；精神+77,法术强度+118；暴击等级+62,法术强度+112；暴击等级+60,法术强度×0.9492；暴击等级×0.9677,5,450,434,0.9816,0,,,0,,,,240,,61016,繁花之生命,264,4,1,8,无,,34563,赦免软靴,48368,4,154,70,
101319,足具·大地,护甲,治疗,4,1,8,脚部,260,耐力+88；智力+88；精神+78,法术强度+126；急速等级+69,法术强度+128；急速等级+67,法术强度×1.0159；急速等级×0.9710,5,440,449,1.0000,0,,,0,,,,239,,47454,孀妇便鞋,258,4,1,8,无,,34564,凶星长靴,48371,4,154,70,
101320,护足·潮汐,护甲,治疗,4,1,8,脚部,260,耐力+89；智力+88；精神+62,法术强度+118；暴击等级+77,法术强度+117；暴击等级+82,法术强度×0.9915；暴击等级×1.0649,5,450,434,1.0092,2,红色,蓝色,0,,,,240,,51850,白凶长靴,264,4,1,8,无,,34574,风暴长靴,48365,4,154,70,
101321,奥妮克希亚幻光布靴,护甲,治疗,4,1,8,脚部,260,耐力+88；智力+88；精神+78,法术强度+126；急速等级+69,法术强度+134；急速等级+64,法术强度×1.0635；急速等级×0.9275,5,440,449,1.0067,1,蓝色,,0,,,,239,,47097,孀妇长靴,258,4,1,8,无,,33884,守备官的鬼纹便鞋,47414,4,146,70,
101322,艾萨拉龙焰护臂,护甲,治疗,4,1,9,腕部,260,耐力+66；智力+66；精神+56,法术强度+94；暴击等级+51,法术强度+94；暴击等级+56,法术强度×1.0000；暴击等级×1.0980,5,346,333,1.0150,1,蓝色,,0,,,,153,,51918,黑暗祝福护腕,264,4,1,9,无,,35174,护卫者的月布护腕,48687,4,154,70,
101323,星芒·腕轮,护甲,治疗,4,1,9,腕部,260,耐力+66；智力+66；精神+58,法术强度+93；急速等级+50,法术强度+90；急速等级+47,法术强度×0.9677；急速等级×0.9400,5,327,333,0.9820,2,黄色,红色,0,,,,153,,47208,苍白圣徒腕甲,258,4,1,9,无,,35179,护卫者的丝质护腕,48690,4,154,70,
101324,腕轮·幻光,护甲,治疗,4,1,9,腕部,260,耐力+66；智力+66；精神+58,法术强度+94；暴击等级+50,法术强度+86；暴击等级+49,法术强度×0.9149；暴击等级×0.9800,5,347,334,0.9731,0,,,0,,,,153,,50032,死亡医师的袖腕,264,4,1,9,无,,30870,崩坏腕甲,45745,4,141,70,
101325,圣贤之腕轮,护甲,治疗,4,1,9,腕部,260,耐力+66；智力+66；精神+58,法术强度+93；急速等级+50,法术强度+102；急速等级+55,法术强度×1.0968；急速等级×1.1000,5,327,333,1.0420,2,蓝色,黄色,0,,,,153,,47485,苍白圣徒护腕,258,4,1,9,无,,30871,殉难护腕,45743,4,141,70,
101326,群星手套,护甲,治疗,4,1,10,手部,260,耐力+89；智力+88；精神+77,法术强度+118；暴击等级+62,法术强度+121；暴击等级+56,法术强度×1.0254；暴击等级×0.9032,5,450,434,0.9931,1,蓝色,,0,,,,218,,50984,矛盾手套,264,4,1,10,无,,34367,永恒光芒之手,48920,4,159,70,
101327,赤焰·手套,护甲,治疗,4,1,10,手部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+128；急速等级+77,法术强度×1.0159；急速等级×1.0000,5,440,448,1.0045,1,黄色,,0,,,,218,,48037,维伦的凯旋兜帽,258,4,1,10,无,,35003,野蛮角斗士的鬼纹手套,48618,4,159,70,
101328,风暴峭壁之手饰,护甲,治疗,4,1,10,手部,260,耐力+89；智力+88；精神+77,法术强度+118；暴击等级+62,法术强度+116；暴击等级+59,法术强度×0.9831；暴击等级×0.9516,5,450,434,0.9885,1,红色,,0,,,,218,,50984,矛盾手套,264,4,1,10,无,,35053,野蛮角斗士的月布手套,49960,4,159,70,
101329,神祇之护手,护甲,治疗,4,1,10,手部,260,耐力+89；智力+88；精神+52,法术强度+118；急速等级+83,法术强度+112；急速等级+88,法术强度×0.9492；急速等级×1.0602,5,446,430,0.9977,0,,,0,,,,218,,51874,断指手套,264,4,1,10,无,,35098,野蛮角斗士的丝质护手,49957,4,159,70,
101330,血色修道院之面甲,护甲,治疗,4,2,1,头部,260,耐力+118；智力+118；精神+88,法术强度+154；暴击等级+96,法术强度+151；暴击等级+96,法术强度×0.9805；暴击等级×1.0000,5,563,574,0.9948,2,混沌,红色,0,,,,532,,48144,符文图腾的凯旋头饰,258,4,2,1,无,,34999,野蛮角斗士的龙皮头盔,48601,4,159,70,
101331,晨辉战盔,护甲,治疗,4,2,1,头部,260,耐力+119；智力+120；精神+95,法术强度+149；急速等级+84,法术强度+154；急速等级+80,法术强度×1.0336；急速等级×0.9524,5,493,567,1.0018,3,混沌,黄色,0,,,,528,,47690,盎然生长头盔,245,4,2,1,无,,35023,野蛮角斗士的科多皮头盔,48602,4,159,70,蓝色
101332,风暴峭壁命运面甲,护甲,治疗,4,2,1,头部,260,耐力+118；智力+118；精神+88,法术强度+154；暴击等级+96,法术强度+160；暴击等级+87,法术强度×1.0390；暴击等级×0.9062,5,563,574,0.9948,2,混沌,红色,0,,,,532,,48141,玛法里奥的凯旋头饰,258,4,2,1,无,,35033,野蛮角斗士的皮甲头盔,48739,4,159,70,
101333,奥杜尔轮回头盔,护甲,治疗,4,2,1,头部,260,耐力+119；智力+120；精神+95,法术强度+149；急速等级+84,法术强度+151；急速等级+83,法术强度×1.0134；急速等级×0.9881,5,493,567,1.0018,2,混沌,黄色,0,,,,528,,47691,盎然生机面罩,245,4,2,1,无,,32235,萨格拉斯的诅咒视界,52634,4,151,70,
101334,暮光驭天肩甲,护甲,治疗,4,2,3,肩部,260,耐力+89；智力+88；精神+77,法术强度+128；暴击等级+69,法术强度+137；暴击等级+72,法术强度×1.0703；暴击等级×1.0435,5,468,451,1.0266,1,蓝色,,0,,,,493,,51135,神圣树纹肩甲,264,4,2,3,无,,35035,野蛮角斗士的皮甲护肩,48598,4,159,70,
101335,达拉然之肩卫,护甲,治疗,4,2,3,肩部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+115；急速等级+74,法术强度×0.9127；急速等级×0.9610,5,440,448,0.9688,0,,,0,,,,492,,48138,玛法里奥的凯旋肩铠,258,4,2,3,无,,31030,刺杀者护肩,45436,4,146,70,
101336,暮光审判官镇压肩卫,护甲,治疗,4,2,3,肩部,260,耐力+88；智力+89；精神+78,法术强度+125；暴击等级+69,法术强度+126；暴击等级+71,法术强度×1.0080；暴击等级×1.0290,5,412,449,1.0067,0,,,0,,,,490,,50113,树纹肩甲,251,4,2,3,无,,31047,雷霆之心肩甲,45667,4,146,70,
101337,剃刀高地肩铠,护甲,治疗,4,2,3,肩部,260,耐力+93；智力+85；精神+77,法术强度+118；急速等级+62,法术强度+112；急速等级+58,法术强度×0.9492；急速等级×0.9355,5,452,435,0.9770,0,,,0,,,,493,,51839,灼热之吻肩垫,264,4,2,3,无,,33674,复仇角斗士的龙皮护肩,46944,4,146,70,
101338,霜狼酋长之护甲,护甲,治疗,4,2,20,胸部,260,耐力+118；智力+118；精神+96,法术强度+163；暴击等级+96,法术强度+159；暴击等级+95,法术强度×0.9755；暴击等级×0.9896,5,580,591,0.9915,1,蓝色,,0,,,,656,,48139,玛法里奥的凯旋法袍,258,4,2,20,无,,34397,混沌刀锋外套,48054,4,159,70,
101339,胸甲·烈日,护甲,治疗,4,2,20,胸部,260,耐力+118；智力+118；精神+104,法术强度+154；急速等级+79,法术强度+139；急速等级+78,法术强度×0.9026；急速等级×0.9873,5,563,573,0.9721,0,,,0,,,,656,,47096,反目外衣,258,4,2,20,无,,34398,艾露恩的幻想外套,48055,4,159,70,
101340,海加尔山之战衣,护甲,治疗,4,2,20,胸部,260,耐力+118；智力+118；精神+81,法术强度+157；暴击等级+104,法术强度+142；暴击等级+98,法术强度×0.9045；暴击等级×0.9423,5,600,578,0.9637,1,红色,,0,,,,657,,51870,失败实验护胸,264,4,2,20,无,,35002,野蛮角斗士的龙皮外套,49968,4,159,70,
101341,祖尔法拉克新月战衣,护甲,治疗,4,2,20,胸部,260,耐力+118；智力+118；精神+81,法术强度+157；急速等级+104,法术强度+168；急速等级+109,法术强度×1.0701；急速等级×1.0481,5,600,578,1.0277,1,蓝色,,0,,,,657,,50973,杉林胸甲,264,4,2,20,无,,35036,野蛮角斗士的皮甲外套,48599,4,159,70,
101342,霜裔之腰甲,护甲,治疗,4,2,6,腰部,260,耐力+88；智力+89；精神+78,法术强度+115；暴击等级+60,法术强度+110；暴击等级+57,法术强度×0.9565；暴击等级×0.9500,5,394,430,0.9814,2,蓝色,黄色,0,,,,367,,50795,黑暗苦痛束带,251,4,2,6,无,,33879,守备官的龙皮腰带,47409,4,146,70,
101343,圣贤战带,护甲,治疗,4,2,6,腰部,260,耐力+89；智力+88；精神+62,法术强度+118；急速等级+77,法术强度+129；急速等级+74,法术强度×1.0932；急速等级×0.9610,5,450,434,1.0184,1,黄色,,0,,,,370,,50069,教授的血斑罩衫,264,4,2,6,无,,33891,守备官的皮甲腰带,47900,4,146,70,
101344,雷霆崖扣带,护甲,治疗,4,2,6,腰部,260,耐力+89；智力+90；精神+74,法术强度+113；暴击等级+59,法术强度+117；暴击等级+56,法术强度×1.0354；暴击等级×0.9492,5,368,425,1.0024,0,,,0,,,,366,,48002,血蹄使者束带,245,4,2,6,无,,30879,阿加多的腰带,45245,4,141,70,
101345,庇护战带,护甲,治疗,4,2,6,腰部,260,耐力+88；智力+88；精神+78,法术强度+116；急速等级+61,法术强度+122；急速等级+64,法术强度×1.0517；急速等级×1.0492,5,422,431,1.0209,1,蓝色,,0,,,,369,,47469,灰棘腰带,258,4,2,6,无,,30914,新月腰带,45244,4,141,70,
101346,暮星腿甲,护甲,治疗,4,2,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+157；暴击等级+88,法术强度+162；暴击等级+92,法术强度×1.0318；暴击等级×1.0455,5,600,577,1.0156,1,蓝色,,0,,,,575,,49898,自然喷薄裹腿,264,4,2,7,无,,31029,刺杀者护腿,45428,4,146,70,
101347,远征军之腿甲,护甲,治疗,4,2,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+163；急速等级+96,法术强度+175；急速等级+99,法术强度×1.0736；急速等级×1.0312,5,580,591,1.0254,1,黄色,,0,,,,573,,48145,符文图腾的凯旋护腿,258,4,2,7,无,,31044,雷霆之心护腿,45665,4,146,70,
101348,炽焰护腿,护甲,治疗,4,2,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+157；暴击等级+88,法术强度+158；暴击等级+83,法术强度×1.0064；暴击等级×0.9432,5,600,577,0.9931,1,红色,,0,,,,575,,49898,自然喷薄裹腿,264,4,2,7,无,,31045,雷霆之心腿甲,45666,4,146,70,
101349,日蚀腿甲,护甲,治疗,4,2,7,腿部,260,耐力+118；智力+118；精神+96,法术强度+163；急速等级+96,法术强度+167；急速等级+87,法术强度×1.0245；急速等级×0.9062,5,580,591,0.9915,2,蓝色,黄色,0,,,,573,,48140,玛法里奥的凯旋护腿,258,4,2,7,无,,33673,复仇角斗士的龙皮护腿,46946,4,146,70,
101350,命运·战靴,护甲,治疗,4,2,8,脚部,260,耐力+88；智力+88；精神+61,法术强度+116；暴击等级+77,法术强度+118；暴击等级+70,法术强度×1.0172；暴击等级×0.9091,5,422,430,0.9884,0,,,0,,,,451,,46989,无尽风暴长靴,258,4,2,8,无,,34575,刺杀者战靴,48369,4,154,70,
101351,仲裁者碎星踏靴,护甲,治疗,4,2,8,脚部,260,耐力+89；智力+88；精神+69,法术强度+118；急速等级+70,法术强度+119；急速等级+76,法术强度×1.0085；急速等级×1.0857,5,450,434,1.0161,1,黄色,,0,,,,452,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,33880,守备官的龙皮长靴,47428,4,146,70,
101352,唤潮者裁断战靴,护甲,治疗,4,2,8,脚部,260,耐力+89；智力+88；精神+62,法术强度+118；暴击等级+77,法术强度+110；暴击等级+78,法术强度×0.9322；暴击等级×1.0130,5,450,434,0.9839,2,红色,蓝色,0,,,,452,,50009,异常生长之靴,264,4,2,8,无,,33892,守备官的皮甲长靴,47403,4,146,70,
101353,护足·天启,护甲,治疗,4,2,8,脚部,260,耐力+89；智力+88；精神+69,法术强度+118；急速等级+70,法术强度+126；急速等级+70,法术强度×1.0678；急速等级×1.0000,5,450,434,1.0184,0,,,0,,,,452,,49894,塞纳里奥祝福之靴,264,4,2,8,无,,30886,魔化皮质便鞋,45238,4,141,70,
101354,符文大师腕铠,护甲,治疗,4,2,9,腕部,260,耐力+66；智力+66；精神+58,法术强度+94；暴击等级+50,法术强度+96；暴击等级+49,法术强度×1.0213；暴击等级×0.9800,5,347,334,1.0030,0,,,0,,,,288,,50417,无尽梦境护腕,264,4,2,9,无,,35171,护卫者的皮甲护腕,48682,4,154,70,
101355,陨星·护腕,护甲,治疗,4,2,9,腕部,260,耐力+66；智力+66；精神+50,法术强度+93；急速等级+58,法术强度+100；急速等级+55,法术强度×1.0753；急速等级×0.9483,5,327,333,1.0120,1,黄色,,0,,,,287,,47438,秋木束腕,258,4,2,9,无,,30863,致命腕甲,45746,4,141,70,
101356,寒冰皇冠太古护臂,护甲,治疗,4,2,9,腕部,260,耐力+66；智力+67；精神+61,法术强度+92；暴击等级+45,法术强度+89；暴击等级+48,法术强度×0.9674；暴击等级×1.0667,5,304,331,1.0000,2,红色,蓝色,0,,,,285,,50985,剧毒冲击护腕,251,4,2,9,无,,30868,回春护腕,45753,4,141,70,
101357,银色北伐军腕铠,护甲,治疗,4,2,9,腕部,260,耐力+66；智力+66；精神+50,法术强度+93；急速等级+58,法术强度+94；急速等级+55,法术强度×1.0108；急速等级×0.9483,5,327,333,0.9940,1,蓝色,,0,,,,287,,47066,秋木护腕,258,4,2,9,无,,32324,阴险护腕,47436,4,141,70,
101358,拳甲·玄冰,护甲,治疗,4,2,10,手部,260,耐力+88；智力+88；精神+78,法术强度+126；暴击等级+69,法术强度+122；暴击等级+71,法术强度×0.9683；暴击等级×1.0290,5,440,449,0.9955,1,蓝色,,0,,,,409,,48143,符文图腾的凯旋护手,258,4,2,10,无,,35032,野蛮角斗士的皮甲手套,49965,4,159,70,
101359,赤霞·护手,护甲,治疗,4,2,10,手部,260,耐力+88；智力+88；精神+69,法术强度+126；急速等级+77,法术强度+129；急速等级+73,法术强度×1.0238；急速等级×0.9481,5,440,448,0.9978,0,,,0,,,,409,,48172,玛法里奥的凯旋手套,258,4,2,10,无,,34351,稳固王权护手,48039,4,154,70,
101360,红龙之手甲,护甲,治疗,4,2,10,手部,260,耐力+88；智力+88；精神+78,法术强度+126；暴击等级+69,法术强度+123；暴击等级+72,法术强度×0.9762；暴击等级×1.0435,5,440,449,1.0000,1,红色,,0,,,,409,,48142,玛法里奥的凯旋护手,258,4,2,10,无,,31026,刺杀者护手,45426,4,146,70,
101361,生命护手,护甲,治疗,4,2,10,手部,260,耐力+89；智力+88；精神+77,法术强度+118；急速等级+62,法术强度+121；急速等级+64,法术强度×1.0254；急速等级×1.0323,5,450,434,1.0115,0,,,0,,,,411,,51814,冰柱雕塑者,264,4,2,10,无,,31032,雷霆之心手套,45664,4,146,70,
101362,潜行者面甲,护甲,治疗,4,3,1,头部,260,耐力+118；智力+118,法术强度+154；暴击等级+90；每5秒法力回复+47,法术强度+167；暴击等级+89；每5秒法力回复+43,法术强度×1.0844；暴击等级×0.9889；每5秒法力回复×0.9149,5,517,527,1.0152,2,混沌,红色,0,,,,1183,,48307,萨尔的凯旋头饰,258,4,3,1,无,,34356,必中护目镜V3.0,45783,4,159,70,
101363,战盔·命轮,护甲,治疗,4,3,1,头部,260,耐力+107；智力+112,法术强度+165；急速等级+97；每5秒法力回复+47,法术强度+154；急速等级+102；每5秒法力回复+46,法术强度×0.9333；急速等级×1.0515；每5秒法力回复×0.9787,5,548,528,0.9867,3,混沌,黄色,0,,,,1186,,51906,玄冰维库人头盔,264,4,3,1,无,,34992,野蛮角斗士的链甲头盔,48606,4,159,70,黄色
101364,晶歌森林之头冠,护甲,治疗,4,3,1,头部,260,耐力+118；智力+118,法术强度+154；暴击等级+90；每5秒法力回复+47,法术强度+162；暴击等级+87；每5秒法力回复+46,法术强度×1.0519；暴击等级×0.9667；每5秒法力回复×0.9787,5,517,527,1.0076,2,混沌,红色,0,,,,1183,,48292,努波顿的凯旋头饰,258,4,3,1,无,,35044,野蛮角斗士的鳞甲头盔,48613,4,159,70,
101365,唤潮者缚龙面甲,护甲,治疗,4,3,1,头部,260,耐力+106；智力+113,法术强度+161；急速等级+95；每5秒法力回复+47,法术强度+171；急速等级+104；每5秒法力回复+51,法术强度×1.0621；急速等级×1.0947；每5秒法力回复×1.0851,5,480,522,1.0441,3,混沌,蓝色,0,,,,1178,,50797,玄冰维库人头盔,251,4,3,1,无,,35079,野蛮角斗士的环甲头盔,48614,4,159,70,黄色
101366,战争领主肩甲,护甲,治疗,4,3,3,肩部,260,耐力+89；智力+90,法术强度+124；暴击等级+68；每5秒法力回复+39,法术强度+127；暴击等级+65；每5秒法力回复+42,法术强度×1.0242；暴击等级×0.9559；每5秒法力回复×1.0769,5,356,410,1.0073,2,蓝色,黄色,0,,,,1084,,47707,碎地者护肩,245,4,3,3,无,,31006,戈隆追猎者护肩,45682,4,146,70,
101367,仁心肩甲,护甲,治疗,4,3,3,肩部,260,耐力+88；智力+88,法术强度+126；急速等级+69；每5秒法力回复+39,法术强度+137；急速等级+72；每5秒法力回复+41,法术强度×1.0873；急速等级×1.0435；每5秒法力回复×1.0513,5,402,410,1.0390,1,黄色,,0,,,,1092,,48309,萨尔的凯旋护肩,258,4,3,3,无,,31022,破天肩垫,45672,4,146,70,
101368,大地裂地肩铠,护甲,治疗,4,3,3,肩部,260,耐力+89；智力+90,法术强度+124；暴击等级+68；每5秒法力回复+39,法术强度+130；暴击等级+63；每5秒法力回复+38,法术强度×1.0484；暴击等级×0.9265；每5秒法力回复×0.9744,5,356,410,1.0000,1,红色,,0,,,,1084,,47706,碎地者肩饰,245,4,3,3,无,,33668,复仇角斗士的链甲护肩,46881,4,146,70,
101369,源质之肩卫,护甲,治疗,4,3,3,肩部,260,耐力+88；智力+88,法术强度+126；急速等级+69；每5秒法力回复+39,法术强度+130；急速等级+65；每5秒法力回复+40,法术强度×1.0317；急速等级×0.9420；每5秒法力回复×1.0256,5,402,410,1.0024,0,,,0,,,,1092,,48290,努波顿的凯旋护肩,258,4,3,3,无,,33710,复仇角斗士的鳞甲护肩,46890,4,146,70,
101370,幽影之护胸,护甲,治疗,4,3,20,胸部,260,耐力+118；智力+118,法术强度+154；暴击等级+80；每5秒法力回复+52,法术强度+157；暴击等级+79；每5秒法力回复+52,法术强度×1.0195；暴击等级×0.9875；每5秒法力回复×1.0000,5,512,522,1.0038,1,蓝色,,0,,,,1456,,47486,元素流动胄甲,258,4,3,5,无,,34990,野蛮角斗士的链甲护胸,48604,4,159,70,
101371,护甲·征途,护甲,治疗,4,3,20,胸部,260,耐力+118；智力+118,法术强度+157；急速等级+104；每5秒法力回复+40,法术强度+153；急速等级+101；每5秒法力回复+40,法术强度×0.9745；急速等级×0.9712；每5秒法力回复×1.0000,5,558,537,0.9870,2,黄色,红色,0,,,,1460,,51840,虹吸元素胸甲,264,4,3,5,无,,35042,野蛮角斗士的鳞甲护胸,49969,4,159,70,
101372,破夜战衣,护甲,治疗,4,3,20,胸部,260,耐力+118；智力+118,法术强度+154；暴击等级+80；每5秒法力回复+52,法术强度+169；暴击等级+81；每5秒法力回复+52,法术强度×1.0974；暴击等级×1.0125；每5秒法力回复×1.0000,5,512,522,1.0307,0,,,0,,,,1456,,47209,元素流动胸甲,258,4,3,5,无,,30907,狂热追击锁甲,46356,4,151,70,
101373,寒星之护甲,护甲,治疗,4,3,20,胸部,260,耐力+118；智力+118,法术强度+157；急速等级+81；每5秒法力回复+52,法术强度+150；急速等级+85；每5秒法力回复+49,法术强度×0.9554；急速等级×1.0494；每5秒法力回复×0.9423,5,546,526,0.9886,1,蓝色,,0,,,,1460,,50177,血钱锁甲,264,4,3,5,无,,23565,扭曲虚空的拥抱,45807,4,146,70,
101374,嚎风峡湾之腰甲,护甲,治疗,4,3,6,腰部,260,耐力+88；智力+88,法术强度+116；暴击等级+61；每5秒法力回复+39,法术强度+108；暴击等级+60；每5秒法力回复+40,法术强度×0.9310；暴击等级×0.9836；每5秒法力回复×1.0256,5,384,392,0.9796,1,蓝色,,0,,,,819,,47426,冰层挖掘者护腕,258,4,3,6,无,,33877,守备官的链甲束带,47406,4,146,70,
101375,屠龙者腰甲,护甲,治疗,4,3,6,腰部,260,耐力+89；智力+88,法术强度+118；急速等级+81；每5秒法力回复+28,法术强度+114；急速等级+80；每5秒法力回复+28,法术强度×0.9661；急速等级×0.9877；每5秒法力回复×1.0000,5,419,404,0.9876,0,,,0,,,,821,,51919,亡语信徒腰带,264,4,3,6,无,,33895,守备官的鳞甲束带,47419,4,146,70,
101376,祖尔格拉布腰甲,护甲,治疗,4,3,6,腰部,260,耐力+88；智力+88,法术强度+126；暴击等级+69；每5秒法力回复+39,法术强度+130；暴击等级+69；每5秒法力回复+36,法术强度×1.0317；暴击等级×1.0000；每5秒法力回复×0.9231,5,402,410,1.0024,1,红色,,0,,,,819,,46991,冰层挖掘者腰带,258,4,3,6,无,,30919,峡谷猎手腰带,45247,4,141,70,
101377,星环碎星战带,护甲,治疗,4,3,6,腰部,260,耐力+89；智力+88,法术强度+118；急速等级+70；每5秒法力回复+35,法术强度+121；急速等级+66；每5秒法力回复+37,法术强度×1.0254；急速等级×0.9429；每5秒法力回复×1.0571,5,414,400,1.0025,1,蓝色,,0,,,,821,,50015,鲜血新星腰带,264,4,3,6,无,,32258,自然庇护腰带,45765,4,141,70,
101378,生命之战裙,护甲,治疗,4,3,7,腿部,260,耐力+118；智力+118,法术强度+163；暴击等级+98；每5秒法力回复+47,法术强度+157；暴击等级+102；每5秒法力回复+43,法术强度×0.9632；暴击等级×1.0408；每5秒法力回复×0.9149,5,534,544,0.9890,1,蓝色,,0,,,,1274,,48308,萨尔的凯旋腿甲,258,4,3,7,无,,35045,野蛮角斗士的鳞甲护腿,48615,4,159,70,
101379,银月城苍白战裙,护甲,治疗,4,3,7,腿部,260,耐力+118；智力+118,法术强度+154；急速等级+87；每5秒法力回复+48,法术强度+145；急速等级+83；每5秒法力回复+47,法术强度×0.9416；急速等级×0.9540；每5秒法力回复×0.9792,5,516,525,0.9733,0,,,0,,,,1274,,47450,仇恨深藏护腿,258,4,3,7,无,,31005,戈隆追猎者护腿,45681,4,146,70,
101380,烈焰腿铠,护甲,治疗,4,3,7,腿部,260,耐力+118；智力+118,法术强度+163；暴击等级+98；每5秒法力回复+47,法术强度+148；暴击等级+99；每5秒法力回复+49,法术强度×0.9080；暴击等级×1.0102；每5秒法力回复×1.0426,5,534,544,0.9779,1,红色,,0,,,,1274,,48291,努波顿的凯旋腿甲,258,4,3,7,无,,31019,破天护腿,45671,4,146,70,
101381,龙骨护腿,护甲,治疗,4,3,7,腿部,260,耐力+118；智力+118,法术强度+154；急速等级+87；每5秒法力回复+48,法术强度+164；急速等级+93；每5秒法力回复+49,法术强度×1.0649；急速等级×1.0690；每5秒法力回复×1.0208,5,516,525,1.0324,1,蓝色,,0,,,,1274,,47087,仇恨深藏腿甲,258,4,3,7,无,,33667,复仇角斗士的链甲护腿,46882,4,146,70,
101382,先知足甲,护甲,治疗,4,3,8,脚部,260,耐力+89；智力+88,法术强度+118；暴击等级+69；每5秒法力回复+35,法术强度+119；暴击等级+69；每5秒法力回复+33,法术强度×1.0085；暴击等级×1.0000；每5秒法力回复×0.9429,5,414,399,0.9975,1,蓝色,,0,,,,1004,,49993,冥光胫甲,264,4,3,8,无,,33878,守备官的链甲战靴,47408,4,146,70,
101383,精金战靴,护甲,治疗,4,3,8,脚部,260,耐力+89；智力+88,法术强度+118；每5秒法力回复+38；急速等级+62,法术强度+113；每5秒法力回复+37；急速等级+68,法术强度×0.9576；每5秒法力回复×0.9737；急速等级×1.0968,5,410,395,1.0000,1,黄色,,0,,,,1004,,51873,曳行轻鞋,264,4,3,8,无,,33896,守备官的鳞甲战靴,47420,4,146,70,
101384,青铜龙战靴,护甲,治疗,4,3,8,脚部,260,耐力+89；智力+90,法术强度+113；每5秒法力回复+30；暴击等级+78,法术强度+123；每5秒法力回复+32；暴击等级+75,法术强度×1.0885；每5秒法力回复×1.0667；暴击等级×0.9615,5,346,400,1.0225,1,红色,,0,,,,993,,49238,炼狱长靴,245,4,3,8,无,,30873,止水长靴,45240,4,141,70,
101385,镇魂使焚烧足甲,护甲,治疗,4,3,8,脚部,260,耐力+88；智力+89,法术强度+115；每5秒法力回复+38；急速等级+59,法术强度+125；每5秒法力回复+35；急速等级+64,法术强度×1.0870；每5秒法力回复×0.9211；急速等级×1.0847,5,358,389,1.0308,2,蓝色,黄色,0,,,,998,,51006,躲闪之靴,251,4,3,8,无,,30880,疾步长靴,45239,4,141,70,
